word,label
variety,TYPE
with,SW
highest,ADJ
yield,YLD
month,SW
to,SW
grow,CUL
maize,CROP
how,SW
is,SW
the,SW
weather,WTR
?,.
will,SW
it,SW
rain,RAIN
this,ADJ
weekend,TIME
cashew,CROP
coconut,CROP
arecanuts,CROP
chilly,CROP
tobacco,CROP
soyabean,CROP
cardamom,CROP
?,.
pesticide,PEST
to,SW
use,SW
for,SW
maize,CROP
.,.
fertilizer,FTLZ
for,SW
ragi,CROP
field,SW
?,.
required,SW
rainfall,RAIN
for,SW
sugarcane,CROP
.,.
weather,WTR
this,SW
week,TIME
!,.
my,USR
name,INT
is,SW
ram,NAME
!,.
hi,GREET
i,USR
am,SW
vaishnavi,NAME
!,.
hey,GREET
hello,GREET
namaste,GREET
heya,GREET
wassup,QA
?,.
cashew,CROP
coconut,CROP
arecanuts,CROP
chilly,CROP
tobacco,CROP
soyabean,CROP
cardamom,CROP
groundnut,CROP
gram,CROP
peas,CROP
green,ADJ
chick,ADJ
yellow,ADJ
black,ADJ
